video_url,author,comment,votes,time,is_reply
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@JatiIlalang-v1k,"Enak banget ya dengerin omongan orang cerdas """,0,2 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@anaya1932,59:40 mksdnya gimn ya?,0,2 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@ekocho,"anakku rumaisha, jika belasan  tahun nanti kelak kamu bisa sudah bisa bermain socmed, semoga suatu saat nanti babamu bisa melihatkan konten yg berkelas ini",0,3 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@EvaDamayanti-p6c,Pendatang baru ni kk,0,3 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@ikhwannur863,Umur 30 tahun sesi ini yg gua rasain banget,0,4 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@santidorego,Puji Tuhan bisa nonton ini🥰😇,0,4 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@vertigoflowers_,menit ke 40:51 kena si 😢,0,4 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@geusanmachyarhayat9506,"previlege gue sebagai anak terakhir adalah minim ekspektasi dibanding kakak kakak gue, dan gue berasa lebih all out dan tanpa beban. Entah mana pola didik yang benar tapi kadang mikir juga, ini bentuk kepercayaan atau orang tua yang emang udah capek ngatur? haha",0,4 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@wipi1410,"kalau 800 orang bilang bosnya toxic, berarti emang toxic ya😅",0,4 days ago (edited),False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@G00GLE-MADETOTO,"Kamu tidak harus sempurna untuk diterima oleh mereka. Mereka akan mencintaimu apa adanya, asli ngena banget sih kata kata ini",0,4 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@vertigoflowers_,44:04 ini juga,0,4 days ago,True
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@RahmaAuliaFaraDhisa,"Pliss iyaa kak, aku cape bgt kl ada org yg begitu, ngajak ini itu maen kesana kesini cuma buat update sosmed, bikin video ini itu ya tp syukurnya skrg aku bisa tegasin diriku sendiri buat blg gak mau, dan aku jg ttp allways memilah milih teman, emg sepi kdg rasanya gada teman tp lebih nyaman ada teman yg bener"" Bisa diajak untuk maju kedepannya dlm hal berpikir tentunya",3,5 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@fauqiarifandi9727,Seorang kakak juga butuh si sosok seseorang kakak 😢,0,5 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@aliyafi2470,"Disaat gua ga bekerja semua teman menyepelekan gua, tapi pas gua udah bekerja semua teman ngechat gua buat minjem uang sekarang gua kaya terauma kalau ada teman yang ngechat apalagi nomer baru",1,5 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Icaldimaridam,Mak aku lagi invest pengetahuan dan wawasan untuk masa depanku mak❤❤🎉,1,5 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@verotriprakasa9446,Quiet quitting dlm pekerjaan,1,5 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@umay0111,"One day, mungkin aku bukan ibu yg sempurna tapi akan kuusahakan jadi panutan yg baik untukmu
Semoga kamu akan jadi pribadi yg lebihbm baik dari ibu mu ini",0,5 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Ellsptrr24,"Aku tidak lagi mempunyai waktu untuk menoleh ke depan atau ke belakang, untuk melihat siapa yang lebih jauh melangkah atau siapa yang tertinggal. Terlalu lama aku menghabiskan tenaga membandingkan perjalanan hidupku dengan orang lain, sehingga aku lupa bahawa setiap orang mempunyai jalan, ujian, dan waktunya sendiri.
Dulu aku fikir hidup adalah sebuah perlumbaan. Aku berlari sekuat tenaga untuk mengejar mereka yang berada di hadapan, dan merasa gelisah apabila melihat orang lain mencapai sesuatu lebih cepat daripadaku. Aku juga pernah merasa bangga ketika melihat ada yang berada di belakangku. Namun semakin dewasa, aku mulai sedar bahawa semua itu hanyalah ilusi yang membuat hati tidak pernah benar-benar tenang.
Perlumbaan itu sebenarnya telah selesai sejak aku menyedari satu perkara penting: satu-satunya orang yang perlu aku lampaui adalah diriku sendiri. Bukan mereka yang memiliki kehidupan lebih sempurna, bukan mereka yang kelihatan lebih berjaya, dan bukan mereka yang mendapat apa yang aku impikan. Tetapi orang yang aku lihat di dalam cermin setiap pagi.
Aku ingin menjadi lebih kuat daripada diriku yang mudah menyerah. Aku ingin menjadi lebih sabar daripada diriku yang sering mengeluh. Aku ingin menjadi lebih bijak daripada diriku yang pernah membuat kesilapan yang sama berulang kali. Kerana kemenangan yang sebenar bukanlah ketika kita mengalahkan orang lain, tetapi ketika kita mampu mengalahkan rasa takut, keraguan, kemalasan, dan kelemahan dalam diri sendiri.
Hari ini, aku tidak lagi berlumba dengan sesiapa. Aku hanya berusaha menjadi versi yang lebih baik daripada diriku semalam. Walaupun langkahku perlahan, aku tetap melangkah. Walaupun perjalanan ini panjang, aku tetap bertahan. Kerana aku tahu, setiap perubahan kecil yang aku lakukan hari ini adalah kemenangan yang tidak dapat dilihat oleh sesiapa, tetapi sangat bermakna untuk diriku sendiri.
Dan jika suatu hari nanti aku berjaya sampai ke destinasi yang aku impikan, aku mahu mengingati bahawa kejayaan itu bukan kerana aku lebih hebat daripada orang lain. Tetapi kerana aku tidak pernah berhenti memperbaiki diri, walaupun berkali-kali",5,6 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@mhmmdrozak28,memandang hidup tanpa harus merasa tertinggal tapi melainkan merasa cukup untuk membuat hati berhenti cemas🥰,1,6 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Nesyaeca5,"masyaAllah, podcast dan episode terbaikk🥰🥰",0,6 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@febroniacynthia1991,"Bagaimana kalau tidak punya followers, circle dan tidak punya teman untuk bercerita?",0,6 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@niastarina8,"📌Berhenti membandingkan hidup dengan orang lain, berani mengatakan tidak dan miliki kesadaran untuk memisahkan identitas diri dari ekspektasi luar maupun peran sosial yang dijalani.",0,6 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@AlfiAfifah-s6w,"Mohon maaf bahasanya bnyak yg gak aku mengerti, mgkn sebagian yg nnton terutama IRT seperti aku dgn bahasa lingkungan rumahan, 🙏",0,6 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@rizkynadia0245,33.27 kak saya pernah disalahkan oranglain. Dia beranggapan hancurnya hidup dia karna saya. Padahal sebelum saya mengenal dia hidup dia sudah seperti itu. Dan yang menyebabkan diri dia seperti itu adalah diri dia sendiri. Tapi dia gagal untuk memahami semua itu dan menyalahkan orang lain. Tidak hanya saya yang disalahkan tapi banyak sekali orang lain yang disalahkan dia:(. Kasian tapi aku sungkan kalo nyuruh dia ke konsul takut dia nganggep aku meremehkan dia🥲,2,7 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@healingbersama888,"Mama aku yg galak n hard complain kalo pas beli sesuatu, bikin aku biasa aja dapet atasan yg galak2 n berpikir mo resign juga bakal ketemu orang yg sama ... alhasil pas selesai kerja, lanjut ke tempat kerja lain, ampe 4 kali, ya udin pasti ada atasan killer or lain2 ... Kesimpulan = gapapa mama VOC 😁",0,7 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Pitriana01,"I’m watching this video at 19 years, 9 months, and 29 days old🤍",10,7 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@lookatmee778,Bnr std sosmed duh bahaya😢,0,8 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@atikaayu152,daging. relate sekali,0,8 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@pyxisreiss5576,"Mas sumpah, konten mu selalu berguna dann... isinya wahh luxury sekali mas, gak bohong. Dan disini saya mau berterimakasih telah membuat channel sepeerti ini, jujur saya sangat terbantu mas,, apalagi saya seorang introvert yang SANGAT selektif milih teman cerita wkwk dan saya menemukan channel ini. 

DABESTT, sehat selalu mas dan semoga dapat Diamond Button dari YouTube karna bermanfaat sekali.
Salam waras..",1,8 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@rezarenaldi255,Udah bang,0,8 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Intan-gita-w3f,"Ada yg ngeresum gk guys, sayang banget kalau gk di tulis",0,8 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@bintmahfudz6451,"Kakk , request narasumber di kasih air minum dong heheee",0,8 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@tejabuana123,Ada benernya,0,9 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@YADPRODUCTION16,"Trauma masa lalu, ekonomi dan tekanan kerja serta tidak adanya suport system itu sih lingkaran yg keras buatku hari ini dan udah berlangsung bertahun tahun sulit sekali menghilang kan total efek buruknya",9,9 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Pearl.archive,36:58 Ketika kita ngerasa di masalalu buruk tapi apakah pantas orang lain menjadi korban atas masalalu tersebut ?,0,9 days ago (edited),False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@faisalrudijanto9200,Mbak ana 👍,0,9 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@Arkanfamily23,"bener banget si exspektasi lingkungan parah si, nangis banget dengerin podcest ini karena bener bener sama kek aku alami😊",1,9 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@KibutsuJiie048,ok,0,10 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@nisaulhikmah102,Gilak ya bagus bgt pembahasan podcastnya 😍,0,10 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@nabilamsalun3982,"Masi bingung dng point ke 2 yg lgi ngebahasa dn ngejelasin cara kita balik ke diri kita lgi itu, maksudnya gmn si? Yg paham bsa bntu jelasin?",0,10 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@umay0111,Terimakasih mas Bilal,0,11 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@QiyasAdanuSoekma,57:10 nasihat untuk pribadi,0,11 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@rahminasrotulhaq4536,"ya alloh obrolan kali ini bener lagi,,, pas banget sama aku,,,",0,11 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@burhanadriyan,"Tidak harus selalu menjadi sempurna, iyup benar sekali, terkadang ada masanya capek butuh istirahat sejenak",0,11 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@nonasugiharti131,💕💞,0,11 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@iyrw21,mbak analisa terima kasih insightnya,0,11 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@ClutiehGoes-iu1nq,38 kena gue banget,0,12 days ago,False
https://youtu.be/WRxJGz-TA44?si=rfAIXKsyYvCPQPkk,@amsstore2629,gg,0,12 days ago,False
